country,year,solar_twh,wind_twh,coal_twh,gas_twh,total_twh,fossil_share,solar_wind_share
China,2000,0.02,0.59,1060.26,5.77,1355.6,82.13,0.04
China,2001,0.03,0.72,1129.14,4.93,1480.79,79.86,0.05
China,2002,0.05,0.84,1282.57,4.19,1654.01,80.86,0.05
China,2003,0.06,1.0,1519.97,5.16,1910.58,82.69,0.06
China,2004,0.08,1.28,1722.42,7.46,2203.31,81.49,0.06
China,2005,0.08,1.95,1980.15,12.14,2500.26,81.7,0.08
China,2006,0.09,3.71,2302.42,23.82,2865.72,82.5,0.13
China,2007,0.11,5.48,2656.7,33.91,3281.54,82.85,0.17
China,2008,0.15,13.1,2708.91,34.57,3495.76,79.02,0.38
China,2009,0.28,27.61,2911.52,56.56,3714.64,80.23,0.75
China,2010,0.7,49.4,3233.6,77.73,4207.16,79.53,1.19
China,2011,2.61,74.1,3690.87,108.77,4713.02,81.34,1.63
China,2012,3.59,103.05,3748.19,110.25,4987.54,77.99,2.14
China,2013,8.37,138.26,4077.37,116.39,5431.63,77.82,2.7
China,2014,23.51,159.76,4203.06,133.28,5794.45,75.45,3.16
China,2015,39.48,185.59,4046.17,166.91,5814.58,73.08,3.87
China,2016,66.53,240.86,4156.35,188.28,6133.16,71.69,5.01
China,2017,117.8,304.6,4430.03,203.2,6604.44,71.0,6.4
China,2018,176.9,365.8,4763.85,215.5,7166.14,70.27,7.57
China,2019,224.0,405.3,4855.12,232.5,7503.43,68.5,8.39
China,2020,261.1,466.5,4921.89,252.5,7779.07,67.2,9.35
China,2021,327.0,655.8,5333.8,287.1,8534.26,66.53,11.52
China,2022,427.27,762.67,5414.72,275.62,8848.71,65.1,13.45
China,2023,584.15,885.87,5752.74,297.8,9456.45,64.8,15.54
China,2024,839.04,997.04,5827.6,320.72,10086.88,61.84,18.2
European Union (27),2000,0.05,,800.33,328.19,2622.18,51.69,0.0
European Union (27),2001,0.17,,792.92,351.41,2698.92,50.9,0.01
European Union (27),2002,0.28,,814.34,374.6,2722.12,52.52,0.01
European Union (27),2003,0.4,,849.04,418.9,2799.93,53.41,0.01
European Union (27),2004,0.68,57.54,835.42,458.48,2867.55,52.27,2.03
European Union (27),2005,1.48,68.1,808.89,512.54,2884.39,52.87,2.41
