country,iso_code,population,generation_twh,solar_share,wind_share,solar_wind_share,fossil_share,low_carbon_share,carbon_intensity_gco2_kwh,demand_per_capita_kwh
Afghanistan,AFG,42647502,0.99,11.11,0.0,11.11,13.13,86.87,131.31,159.92
Albania,ALB,2791756,8.34,4.08,0.0,4.08,0.0,100.0,25.18,3105.57
Algeria,DZA,46814302,96.36,1.03,0.02,1.05,98.93,1.07,632.94,2004.52
American Samoa,ASM,46792,0.18,5.56,0.0,5.56,94.44,5.56,611.11,3846.81
Angola,AGO,37885854,15.59,2.82,0.0,2.82,26.3,73.7,185.38,411.5
Antigua and Barbuda,ATG,93782,0.37,8.11,0.0,8.11,91.89,8.11,594.6,3945.32
Argentina,ARG,45696153,152.51,2.6,10.6,13.21,58.76,41.24,344.83,3538.15
Armenia,ARM,2973843,9.03,9.74,0.0,9.74,38.98,61.02,240.31,2569.07
Aruba,ABW,108076,1.0,3.0,14.0,17.0,83.0,17.0,550.0,9252.75
Australia,AUS,26713206,281.64,17.83,11.62,29.45,64.92,35.08,553.83,10543.1
Austria,AUT,9120815,78.47,10.37,11.65,22.02,13.78,86.22,103.48,7860.04
Azerbaijan,AZE,10336577,27.84,0.29,0.32,0.61,88.25,11.75,634.34,2574.35
Bahamas,BHS,401282,2.25,0.89,0.0,0.89,99.11,0.89,653.33,5607.03
Bahrain,BHR,1607059,37.95,0.26,0.0,0.26,99.74,0.26,902.24,23919.47
Bangladesh,BGD,173562366,101.74,1.2,0.0,1.2,98.11,1.89,695.7,643.8
Barbados,BRB,282476,1.11,9.01,0.0,9.01,90.99,9.01,594.6,3929.54
Belarus,BLR,9056696,45.82,0.57,0.44,1.0,62.68,37.32,329.55,4992.99
Belgium,BEL,11738761,76.01,11.26,18.5,29.76,23.66,76.34,126.96,7355.97
Belize,BLZ,417077,0.47,2.13,0.0,2.13,12.77,87.23,170.21,2037.99
Benin,BEN,14462721,1.01,3.96,0.0,3.96,96.04,3.96,584.16,159.72
Bermuda,BMU,64660,0.61,0.0,0.0,0,98.36,1.64,639.34,9433.96
