year,coal,gas,oil,nuclear,hydro,wind,solar,other_renewable,total,fossil_share,low_carbon_share
2000,5808.81,2745.57,1324.32,2540.46,2629.67,31.15,1.02,197.78,15278.78,64.66,35.34
2001,5890.67,2914.78,1285.24,2613.17,2563.72,38.19,1.36,193.7,15500.83,65.1,34.9
2002,6144.3,3104.81,1271.84,2654.78,2611.58,52.22,1.72,208.64,16049.89,65.55,34.45
2003,6574.95,3255.5,1296.25,2601.05,2611.97,63.2,2.11,222.98,16628.01,66.92,33.09
2004,6797.3,3503.08,1263.66,2719.41,2802.61,85.48,2.78,240.67,17414.99,66.4,33.6
2005,7167.21,3680.54,1277.89,2726.97,2911.77,104.4,3.95,261.35,18134.08,66.87,33.13
2006,7566.97,3900.59,1175.78,2761.59,3018.07,133.2,5.42,277.37,18838.99,67.11,32.89
2007,8051.83,4219.27,1196.05,2703.49,3062.78,171.15,7.29,302.1,19713.96,68.31,31.69
2008,8074.19,4360.99,1171.72,2694.72,3245.35,220.85,11.85,322.97,20102.64,67.69,32.31
2009,7950.77,4382.35,1071.16,2656.76,3241.27,276.26,19.82,345.12,19943.51,67.21,32.79
2010,8458.0,4807.86,1078.66,2725.91,3428.21,345.99,32.21,386.91,21263.75,67.46,32.54
2011,8911.04,4865.93,1186.76,2610.34,3488.07,439.98,63.56,406.35,21972.03,68.1,31.9
2012,8960.28,5161.35,1238.6,2432.22,3660.17,529.26,96.92,436.86,22515.66,68.22,31.78
2013,9423.85,5058.36,1196.83,2448.52,3790.79,634.14,131.75,470.79,23155.03,67.71,32.29
2014,9603.84,5214.12,1143.66,2498.73,3870.67,706.1,197.74,512.21,23747.07,67.22,32.78
2015,9283.61,5539.88,1133.29,2532.93,3882.13,829.63,256.01,544.87,24002.35,66.48,33.52
2016,9327.96,5849.92,1085.11,2571.05,4014.75,960.3,327.47,557.95,24694.51,65.86,34.14
2017,9655.05,5973.6,993.83,2594.23,4054.03,1139.44,444.65,586.21,25441.04,65.34,34.66
2018,10033.03,6224.56,908.6,2658.7,4176.84,1268.14,575.16,619.46,26464.49,64.86,35.13
2019,9826.39,6401.31,855.03,2754.08,4227.76,1420.96,697.94,648.95,26832.42,63.66,36.34
2020,9437.05,6382.94,775.88,2648.33,4347.02,1591.47,853.39,687.29,26723.37,62.1,37.9
2021,10156.49,6556.63,842.25,2762.44,4288.7,1856.94,1053.99,741.63,28259.07,62.12,37.88
2022,10240.44,6628.27,887.42,2639.64,4324.07,2107.66,1333.12,757.14,28917.76,61.4,38.6
2023,10395.94,6699.42,876.79,2697.74,4240.11,2319.18,1664.14,772.02,29665.34,60.58,39.42
2024,10538.94,6882.73,853.84,2777.11,4433.65,2509.5,2142.65,791.81,30930.23,59.09,40.91
